#,title,author,rating,author gender,author race,lgbtq+?,genre,type,notes
1,girls of paper and fire,natasha ngan,4,f,a,y,fantasy,,chinese malaysian rep pog
2,the inheritance games,jennifer lynn barnes,3,f,w,n,mystery,,
3,the devil and the dark water,stuart turton,4,m,w,n,mystery,,
4,a game of thrones,george r. r. martin,NR,m,w,n,fantasy,,
5,harry potter and the sorcerer's stone,j. k. rowling,NR,f,w,n,fantasy,,reread
6,harry potter and the chamber of secrets,j. k. rowling,NR,f,w,n,fantasy,,reread
7,harry potter and the prisoner of azkaban,j. k. rowling,NR,f,w,n,fantasy,,reread
8,harry potter and the goblet of fire,j. k. rowling,NR,f,w,n,fantasy,,reread
9,harry potter and the order of the phoenix,j. k. rowling,NR,f,w,n,fantasy,,reread
10,harry potter and the half blood prince,j. k. rowling,NR,f,w,n,fantasy,,reread
11,harry potter and the deathly hallows,j. k. rowling,NR,f,w,n,fantasy,,reread
12,tokyo ghoul vol. 1,sui ishida,eh,m,a,n,"dark fantasy, horror",manga,reread
13,the test,sylvain neuvel,4,m,w,n,dystopian scifi,,white author but mc is iranian and deutorangonist is indian
14,these violent delights,chloe gong,4,f,a,y,historical fantasy,,
15,a good girl's guide to murder,holly jackson,5,f,w,n,mystery/thriller,,indian deutorangonist; lesbian (?) side character but that isn't relevant to the story
16,you asked for perfect,laura silverman,1,f,w,y,contemporary,,"jewish bi mc, indian mlm love interest, korean lesbian side character, indian side character"
17,the left hand of darkness,ursula k. le guin,,f,w,y,sci fi,,for school
18,the plot,jean hanff korelitz,,f,w,,mystery,,
