Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
36337550,The 7½ Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",5,3.88,Sourcebooks Landmark,Hardcover,432,2018,2018,2020/03/29,2019/09/15,"faves, read-in-2020","faves (#5), read-in-2020 (#8)",read,"fuck this book is SO GOOD. i went into this book having absolutely no idea what it was ab, not even reading the synopsis. so i had absolutely no idea what was going on at first, just like the protagonist. honestly, i kinda recommend that if you enjoy being not knowing things when you read. lol.<br/>this book has so many twists and turns; it doubles back, it loops around. (if you've seen The Good Place, Jeremy Bearimy describes this book perfectly.) so i definitely recommend keeping some brief notes ab the characters. <br/>this book requires 110% of your attention. it moves around so much that it can get quite confusing, but if you keep track of the characters and what's going on, you'll be fine. i think part of what i really enjoyed about this book is how i never seemed to know what was going on, but i wanted to know more nonetheless. i literally stayed up til 4am to finish it. i have no shame.<br/><br/>honestly idk what this review is it's kind of a hot mess. <br/><br/>some other random thoughts i have:<br/>- writing style: i usually don't notice writing unless it's really bad, but in this case, i remember a few times i'd read something and think, ""i like that metaphor."" stuart turton is clearly a really good writer, and it shows in both his writing style and the book's complicated plot. <br/>- i don't think this is strictly problematic of turton or the book, per se, considering the time the book is supposed to take place and what i assume this is supposed to say about the character (who wasn't rly important to the story so whatever). this was such a small and inconsequential part of the book, but i remember it so distinctly i had to point it out. at one point one of the characters talks about ""the orient"" and calls asians ""orientals"". i just-- ",,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",4,4.32,Scholastic Press,ebook,284,2008,2008,,2017/03/26,to-reread,to-reread (#20),read,,,,1,,,0,,,,,
42078793,The Athena Protocol (The Athena Protocol #1),Shamim Sarif,"Sarif, Shamim",,"=""006284962X""","=""9780062849625""",0,3.73,HarperTeen,ebook,320,2019,2019,,2020/07/25,"to-read, lgbtq-rep, tbr-2019-releases","to-read (#201), lgbtq-rep (#27), tbr-2019-releases (#34)",to-read,,,,0,,,0,,,,,
37570546,"Maybe You Should Talk to Someone: A Therapist, Her Therapist, and Our Lives Revealed",Lori Gottlieb,"Gottlieb, Lori",,"=""1328662055""","=""9781328662057""",0,4.37,Mariner Books,Hardcover,415,2019,2019,,2020/02/10,dnf,dnf (#3),dnf,"dnf @ 68%<br/><br/>it's not a bad book and gives some insights into life and how you should approach things, but bruh some parts be boring and such a slug to get thru... i can't do this rn lol",,,0,,,0,,,,,
34499221,To Kill a Kingdom,Alexandra Christo,"Christo, Alexandra",,"=""1250112680""","=""9781250112682""",3,3.86,Feiwel & Friends,Hardcover,344,2018,2018,2020/02/17,2018/09/02,read-in-2020,read-in-2020 (#3),read,*3.5/5,,,1,,,0,,,,,
27969087,"Labyrinth Lost (Brooklyn Brujas, #1)",Zoraida Córdova,"Córdova, Zoraida",,"=""""","=""""",0,3.73,Sourcebooks Fire,Paperback,324,2017,2016,,2018/09/02,"to-read, fantasy, libby","to-read (#72), fantasy (#37), libby (#70)",to-read,,,,0,,,0,,,,,
16248068,"The Elite (The Selection, #2)",Kiera Cass,"Cass, Kiera",,"=""0062059963""","=""9780062059963""",2,3.99,HarperTeen,Hardcover,336,2013,2013,2020/07/08,2017/08/18,"read-in-2015, read-in-2020","read-in-2015 (#60), read-in-2020 (#18)",read,"everything i said in my review for the selection still stands (worldbuilding bad, characters bland, but book mildly entertaining, etc.). but what annoys me to no end in this book is how stupid and indecisive the main character is. she spends most of the book being confused and unable to choose btwn maxon and aspen, literally flip-flopping from one to the other every other chapter. i'm getting whiplash here... she also gets hella insecure that maxon doesn't actually like her whenever anyone says anything that could be remotely interpreted that way, even when the person telling her those things is clearly not credible. and also MAXON IS CLEARLY IN LOVE WITH HER LANDLAJDKSJDJDKSKS. and she also gets jealous and upset of maxon being close with other girls even tho she literally does that with aspen. the hypocrisy. and even tho that's LITERALLY THE POINT OF THE SELECTION! america is a dumb bitch, man...<br/><br/>(for posterity's sake, the reason this gets 2 stars and not 1 is bc it was still kinda entertaining and i didn't hate every second of reading it. sure i was annoyed to all hell, but maybe i enjoyed it a little. it IS kinda funny how stupid america is tbh)",,,2,,,0,,,,,
53066661,The Falling in Love Montage,Ciara Smyth,"Smyth, Ciara",,"=""0062957112""","=""9780062957115""",0,3.95,HarperTeen,Hardcover,368,2020,2020,,2020/06/13,"to-read, contemporary, lgbtq-rep, tbr-2020-releases","to-read (#199), contemporary (#22), lgbtq-rep (#26), tbr-2020-releases (#5)",to-read,,,,0,,,0,,,,,
20312458,Tell Me Again How a Crush Should Feel,Sara Farizan,"Farizan, Sara",,"=""161620284X""","=""9781616202842""",1,3.84,Algonquin Young Readers,Hardcover,304,2014,2014,2020/04/18,2017/06/02,read-in-2020,read-in-2020 (#10),read,"*1.5/5<br/><br/>idk man, but i rly did not like this book. there's such superficial and stereotypical bullshit, the writing style is meh (tho it's farizan's second book, so i understand), and there are just some weird lines that are strangely immature. i'm starting to rly hate YA. <br/><br/>the only thing in this book that i don't have super negative feelings ab is the whole thing ab leila being worried ab coming out / feeling like she doesn't fit in bc she's the daughter of persian immigrants. that was valid, understandable, and no doubt based on the author's own experiences. but it was nothing special. imo it could've been deeper and developed more;  i felt like that was supposed to be the most important part of the book, but in the end it wasn't rly talked ab that much. <br/><br/>superficial and stereotypical bullshit:<br/>- ashley, bitchy mean girl. omg is this every high school movie/book ever?!?!?! the way her character is depicted is so infuriating. ""ashley cackles with the fervor and depth that only a bitch blonde 16-year-old can"" (chpt 1 -- sorry no page numbers, i read it on ebook). -- not even subtle. yeah there's this whole thing ab how she's ""cool"" and a mean girl, aka she's girly, cares ab fashion and wears a lot of makeup, and is slutty. and apparently that means she's rumored to have slept with a teacher, something the main character brings up in her narration several times. like, ofc this is used to make ashley seem like a terrible person when we should rly be worried ab the fact that A TEACHER MIGHT BE SLEEPING WITH HER?? aka rape and pedophilia???? <br/>and this line... WHAT THE FUCK. for context, leila is worrying ab being outed, and she says this in her narration: ""she would just need to tell one person at school and the rumor would spread faster than ashley's legs in mr. harris's science lab"" (chpt 27). like,,, SERIOUSLY?!?!? even in a situation like this, where she's worried ab being outed, she needs to take shots at ashley?!?! like holy shit shut the fuck up man. you have bigger things to worry ab rn besides what ashley is doing with her legs. (not to mention, once again, she's more concerned ab ashley's rumored sluttiness than literal pedophilia.)<br/>also, there's this part that literally so stupid i can't even. she and another character show up to a dance wearing the same dress, and she ""runs out of the gym, crying hysterically."" like bruh. what???? is this satire? cuz who the fuck reacts like that what the fuck?<br/>- tomas, the epitome of the gay stereotype. does theater, ""is giddy to a stereotypical T"" (this is a real fucking line from the book btw), and gets befriended by the mean girls. ""he was a fun new accessory."" -- those are leila's words. and i feel like this whole situation says more ab leila than the mean girls, since they take him in and are friends with him. it's unclear whether it's bc they actually accept him or just want ""a fun new accessory"", like leila said, and tho it is slightly hinted at the latter, the mean girls' perspective is not something that's developed upon. could've made for more interesting nuance. but leila is super judgmental, saying, ""i was happy for him, but i resented the crap out of him"" [for being friends with the mean girls]. keep in mind, tomas came out and got bullied and called the f-slur. but the mean girls were nice to him. it's not rly leila's place to judge who tomas is friends with. and let's not forget leila herself isn't out. who's to say she wouldn't do the same thing if she was in tomas's positon?<br/>- leila's whole thing ab being #quirky and not like other girls. i understand the thing ab her not fitting in bc of her race and sexuality, but it's repeatedly emphasized how she doesn't know anything ab fashion and all that bullshit which is so tired, man. <br/><br/>cringy/weirdly immature moments:<br/>- ""the ball clocks me in the boobs."" bruh. why. <br/>- mc is auditioning for a play and is doing rly well. but ""any chance of that happening is gone as i fart loudly. in front of everyone."" WHAT THE FUCK<br/>- a child LITERALLY SAYS, AND I QUOTE, ""mommy! her boobs are huge!""<br/>- there's this girl who's a furry but for vampires and wears fangs and at one point she ""bears her fangs and hisses"" at someone. bruh. <br/>- ""i feel like i've been punched in the vagina""<br/>- ok this last one is just a badly-written line that made me cringe a lot. ""all the women... eat that stuff up like it was tadig, the crispy rice dripping with oil that tastes so good."" it's just such a badly-written line idek what to say. so many adjectives and modifiers. why. tadig... the crispy rice... dripping with oil... that tastes so good. <br/><br/>and the last thing is just... one character's personality does a complete 180 with no explanation and it's completely out of left field. makes no sense. could've been expanded on more to make them more nuanced and complex. <br/><br/>tbh the only reason this book didn't get 1 star is bc i was only in agony most of the time i was reading this, as opposed to all of the time. if leila's struggles with her identity had been infuriating/problematic too, then this book for sure would've gotten 1 star.<br/><br/>**edit: after some thinking, i've decided to round down my rating to 1 star, bc now that of think of it, there's nothing positive i can rly say ab this book, more like the parts i didn’t completely hate weren’t as bad as it could’ve been.",,,1,,,0,,,,,
27274343,I'm Thinking of Ending Things,Iain Reid,"Reid, Iain",,"=""1501126962""","=""9781501126963""",1,3.60,Gallery/Scout Press,ebook,224,2016,2016,2020/06/02,2020/04/10,read-in-2020,read-in-2020 (#16),read,"original review 6/2/20:<br/>this book is confusing af and i need to reread it when i can get a written copy (as opposed to the audiobook, which btw has this part that's creepy af that was fun). reviews i've seen are torn being 5 stars bc ""that twist holy shit!!"" and 1 stars bc the book is hella confusing. and i agree, this book is hella confusing, which is why i need to reread it, and hopefully things will make more sense. but as i stand right now, ignoring all the stuff that was confusing, i kinda predicted the twist, and it seems to me like a lot of the stuff that was creepy/wtf while i read can be conveniently explained away by the twist.<br/><br/>update reread 6/9/20:<br/>ugh. ok. i’m rly annoyed rn. so i attempted to reread the book to try to make sense of it, but after looking back at the ending, i got about halfway thru my reread before i realized it was pointless. all the stuff i’d found confusing during my first read was now either still confusing, or could be conveniently explained away by the twist. i guess what i’m ab to say it kinda spoiler-y, but it was very much like the “it was all a dream” trope in how you could just dismiss the confusing stuff. because.... you realize... none of it actually fucking matters. and that annoys the fuck out of me. bc ppl were hyping this up as an amazing book but all the stuff i originally found creepy/confusing is now just conveniently meaningless. plus a lot of the conversations the characters were having — particularly jake — just made no sense to me. it was too ~big brain intellectual~ for me. someone who rly liked this book pls tell me why. bc i really don’t see it. the more i think ab how the twist makes everything in this book irrelevant the more annoyed i get. i rly think the only mildly positive thing i can say about this book is that there was this part in the audiobook that was hella creepy and rly cool. but that has more to do with the producers of the audiobook than the book itself. i’m gonna have to give this an annoyed and extremely disappointed 1 star.",,,2,,,0,,,,,
51933417,Never Have I Ever,Joshilyn Jackson,"Jackson, Joshilyn",,"=""0062855328""","=""9780062855329""",0,3.76,William Morrow Paperbacks,Paperback,368,2020,2019,,2020/06/02,"to-read, judging-a-book-by-its-cover","to-read (#198), judging-a-book-by-its-cover (#43)",to-read,,,,0,,,0,,,,,
52225186,Eight Perfect Murders,Peter  Swanson,"Swanson, Peter",,"=""0062838202""","=""9780062838209""",4,3.64,William Morrow,Hardcover,270,2020,2020,2020/05/31,2020/03/23,read-in-2020,read-in-2020 (#15),read,"a very intriguing read, tho i'm pretty meh ab the resolution/answer to this mystery. could've been a 5-star but the last 15% was not as great as i was hoping for so let's call it a 4. but i think any mystery-lover will enjoy the concept of this book, which is rly just a circle jerk of many classic mystery books. be forewarned that there are spoilers for so many fucking books (including the ones mentioned in the synopsis). ",,,1,,,0,,,,,
