Title,Author,My Rating,Average Rating,Number of Pages,Original Publication Year,Date Read,race,of-color,gender,non-male,sexuality,non-straight,international,disabled,overall rating
People We Meet on Vacation,Emily Henry,3,4.1,364,2021,6/30/21,white,0,female,1,straight,0,0,0,1
Pachinko,Min Jin Lee,4,4.28,512,2017,6/29/21,asian,1,female,1,straight,0,1,0,3
The Astonishing Color of After,Emily X.R. Pan,4,4.1,480,2018,6/29/21,asian,1,female,1,straight,0,0,0,2
Blackfish City,Sam J. Miller,3,3.59,336,2018,6/28/21,white,0,male,0,gay,1,0,0,1
"The Silence of the Girls (Women of Troy, #1)",Pat Barker,4,3.91,325,2018,6/27/21,white,0,female,1,straight,0,0,0,1
Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski,2,4.01,277,2019,6/26/21,white,0,female,1,queer,1,0,0,2
The Soulmate Equation,Christina Lauren,4,4.06,360,2021,6/14/21,asian,1,female,1,straight,0,0,0,2
All Girls,Emily Layden,5,3.23,320,2021,6/13/21,white,0,female,1,straight,0,0,0,1
The Four Winds,Kristin Hannah,3,4.32,464,2021,6/11/21,white,0,female,1,straight,0,0,0,1
"Detransition, Baby",Torrey Peters,4,4.05,340,2021,3/31/21,white,0,trans female,1,straight,0,0,0,1
The Discourses,Niccolò Machiavelli,3,4.07,544,1531,3/2/21,white,0,male,0,straight,0,0,0,0
The Prince,Niccolò Machiavelli,4,3.82,83,1532,3/1/21,white,0,male,0,straight,0,0,0,0
Politics,Aristotle,2,3.97,368,-350,3/1/21,white,0,male,0,straight,0,0,0,0
Four Texts on Socrates: Euthyphro/Apology/Crito/Aristophanes' Clouds,Plato,3,4.05,192,1984,3/1/21,white,0,male,0,straight,0,0,0,0
Pride,Ibi Zoboi,3,3.76,304,2018,2/21/21,black,1,female,1,straight,0,1,0,3
The Paper Menagerie and Other Stories,Ken Liu,5,4.38,464,2016,2/21/21,asian,1,male,0,straight,0,0,0,1
Euphoria,Lily King,4,3.84,256,2014,2/20/21,white,0,female,1,straight,0,0,0,1
All You Can Ever Know,Nicole Chung,4,3.85,240,2018,2/13/21,asian,1,female,1,straight,0,0,0,2
A Map for Wrecked Girls,Jessica  Taylor,3,3.62,368,2017,2/11/21,white,0,female,1,straight,0,0,0,1
Beach Read,Emily Henry,3,4.05,361,2020,2/10/21,white,0,female,1,straight,0,0,0,1
Ella Minnow Pea: A Novel in Letters,Mark Dunn,3,3.88,208,2001,2/9/21,white,0,male,0,straight,0,0,0,0
The Catcher in the Rye,J.D. Salinger,3,3.81,214,1951,2/8/21,white,0,male,0,straight,0,0,0,0
The Memory Box,Eva Lesko Natiello,3,3.5,362,2014,,white,0,female,1,straight,0,0,0,1
Rodham,Curtis Sittenfeld,2,3.83,417,2020,1/17/21,white,0,female,1,straight,0,0,0,1
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,2,3.92,224,2016,1/17/21,white,0,male,0,straight,0,0,0,0
Arts & Entertainments,Christopher R. Beha,2,3.19,288,2014,1/15/21,white,0,male,0,straight,0,0,0,0
The Silent Patient,Alex Michaelides,2,4.12,325,2019,1/15/21,white,0,male,0,straight,0,0,0,0
"From Blood and Ash (Blood And Ash, #1)",Jennifer L. Armentrout,2,4.3,613,2020,1/6/21,white,0,female,1,straight,0,0,1,2
You Deserve Each Other,Sarah Hogle,1,3.91,357,2020,1/6/21,white,0,female,1,straight,0,0,0,1
Hood Feminism: Notes from the Women That a Movement Forgot,Mikki Kendall,4,4.42,288,2020,12/27/20,black,1,female,1,queer,1,0,0,3
