Title,Author,My Rating,Average Rating,Number of Pages,Original Publication Year,Date Read,race,of-color,gender,non-male,sexuality,non-straight,international,disabled,overall rating
The Gatekeepers,Jen Lancaster,2,4,448,2017,,white,0,female,1,straight,0,0,0,1
"Will Grayson, Will Grayson",John Green,3,3.74,310,2010,6/29/19,white,0,male,0,straight,0,0,0,0
Black Moon,Kenneth Calhoun,,3.17,277,2014,,white,0,male,0,straight,0,0,0,0
A Raisin in the Sun,Lorraine Hansberry,,3.83,162,1959,,black,1,female,1,straight,0,0,0,2
Romeo and Juliet,William Shakespeare,,3.75,281,1597,,white,0,male,0,straight,0,0,0,0
Ali and Nino,Kurban Said,,3.92,288,1937,,white,0,male,0,straight,0,0,0,0
"March: Book One (March, #1)",John Lewis,,4.28,128,2013,,black,1,male,0,straight,0,0,0,1
Versos Sencillos: Simple Verses,José Martí,,4.19,123,1891,,latinx,1,male,0,straight,0,1,0,2
One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,,3.96,182,1962,,white,0,male,0,straight,0,0,0,0
"The Once and Future King (The Once and Future King, #1-4)",T.H. White,,4.04,639,1958,,white,0,male,0,gay,1,1,0,2
The Vast Fields of Ordinary,Nick Burd,3,3.93,309,2009,6/26/19,black,1,male,0,gay,1,0,0,2
"Where'd You Go, Bernadette",Maria Semple,4,3.88,330,2012,,white,0,female,1,straight,0,0,0,1
An Anonymous Girl,Greer Hendricks,3,3.82,375,2019,,white,0,female,1,straight,0,0,0,1
This Is Where It Ends,Marieke Nijkamp,3,3.69,282,2016,,white,0,non-binary,1,queer,1,0,1,3
"Shovel Ready (Spademan, #1)",Adam Sternbergh,3,3.46,256,2014,,white,0,male,0,straight,0,0,0,0
"The Rosie Project (Don Tillman, #1)",Graeme Simsion,4,4.01,295,2013,6/18/19,white,0,male,0,straight,0,0,0,0
An Enchantment of Ravens,Margaret  Rogerson,3,3.65,300,2017,,white,0,female,1,straight,0,0,0,1
The Perfect Nanny,Leïla Slimani,3,3.4,240,2016,6/9/19,middle eastern,1,female,1,straight,0,0,0,2
Gone Girl,Gillian Flynn,3,4.09,415,2012,6/8/19,white,0,female,1,straight,0,0,0,1
"Sand (Sand, #1-5)",Hugh Howey,3,3.97,372,2014,,white,0,male,0,straight,0,0,0,0
"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,,3.59,368,2006,,white,0,female,1,straight,0,0,0,1
Queenie,Candice Carty-Williams,3,3.88,330,2019,,black,1,female,1,straight,0,0,0,2
The Sound and the Fury,William Faulkner,4,3.86,366,1929,6/6/19,white,0,male,0,queer,1,0,0,1
"The Bride Test (The Kiss Quotient, #2)",Helen Hoang,3,3.88,296,2019,,asian,1,female,1,straight,0,0,1,3
"One of Us Is Lying (One of Us is Lying, #1)",Karen M. McManus,4,4.03,361,2017,,white,0,female,1,straight,0,0,0,1
Middlesex,Jeffrey Eugenides,4,4.01,529,2002,5/14/19,white,0,male,0,straight,0,0,0,0
"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,,4.43,341,1998,,white,0,female,1,straight,0,0,0,1
I'll Give You the Sun,Jandy Nelson,,4.14,371,2014,,white,0,female,1,straight,0,0,0,1
The First Fifteen Lives of Harry August,Claire North,,4.01,417,2014,,white,0,female,1,straight,0,0,0,1
"Seraphina (Seraphina, #1)",Rachel Hartman,,3.92,499,2012,,white,0,female,1,straight,0,0,0,1
"The Raven Boys (The Raven Cycle, #1)",Maggie Stiefvater,,4.03,409,2012,,white,0,female,1,straight,0,0,0,1
The Adventures of Tom Sawyer,Mark Twain,,3.92,244,1876,,white,0,male,0,straight,0,0,0,0
"Some Luck (Last Hundred Years: A Family Saga, #1)",Jane Smiley,5,3.62,395,2014,,white,0,female,1,straight,0,0,0,1
Siddhartha,Hermann Hesse,,4.04,152,1922,,white,0,male,0,straight,0,0,0,0
War and Peace,Leo Tolstoy,,4.13,1392,1869,,white,0,male,0,queer,1,0,0,1
The Help,Kathryn Stockett,,4.46,464,2009,,white,0,female,1,straight,0,0,0,1
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,,4.47,309,1997,,white,0,female,1,straight,0,0,0,1
"WWW: Wake (WWW, #1)",Robert J. Sawyer,,3.82,354,2009,,white,0,male,0,straight,0,0,0,0
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,,4.27,320,1908,,white,0,female,1,straight,0,0,0,1
The Martian,Andy Weir,,4.4,384,2011,,white,0,male,0,straight,0,0,0,0
Gone with the Wind,Margaret Mitchell,,4.3,1037,1936,,white,0,female,1,straight,0,0,0,1
The Call of the Wild,Jack London,,3.88,219,1903,,white,0,male,0,straight,0,0,0,0
To Kill a Mockingbird,Harper Lee,,4.27,336,1960,,white,0,female,1,lesbian,1,0,0,2
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,,3.82,389,1979,,white,0,female,1,straight,0,0,1,2
Little Women,Louisa May Alcott,,4.11,449,1869,,white,0,female,1,queer,1,0,0,2
"Twilight (The Twilight Saga, #1)",Stephenie Meyer,,3.62,387,2005,,white,0,female,1,straight,0,0,0,1
"In the Woods (Dublin Murder Squad, #1)",Tana French,,3.77,429,2007,,white,0,female,1,straight,0,0,0,1
Pride and Prejudice,Jane Austen,,4.27,279,1813,,white,0,female,1,straight,0,0,0,1
"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,,4.56,734,2000,,white,0,female,1,straight,0,0,0,1
And Then There Were None,Agatha Christie,,4.26,264,1939,,white,0,female,1,straight,0,0,0,1
"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,4.61,759,2007,,white,0,female,1,straight,0,0,0,1
"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,,4.5,870,2003,,white,0,female,1,straight,0,0,0,1
"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,,4.32,374,2008,,white,0,female,1,straight,0,0,0,1
"The Giver (The Giver, #1)",Lois Lowry,,4.13,208,1993,,white,0,female,1,straight,0,0,0,1
"Moby-Dick or, the Whale",Herman Melville,,3.52,654,1851,,white,0,male,0,straight,0,0,0,0
"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,,4.57,435,1999,,white,0,female,1,straight,0,0,0,1
Gulliver's Travels: Travels into Several Remote Nations of the World.,Jonathan Swift,,3.58,306,1726,,white,0,male,0,straight,0,0,0,0
The Little Prince,Antoine de Saint-Exupéry,,4.31,96,1943,,white,0,male,0,straight,0,0,0,0
The Joy Luck Club,Amy Tan,,3.94,352,1989,,asian,1,female,1,straight,0,0,0,2
The Picture of Dorian Gray,Oscar Wilde,,4.1,272,1890,,white,0,male,0,gay,1,0,1,2
"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,,3.98,96,1865,,white,0,male,0,straight,0,0,0,0
Wuthering Heights,Emily Brontë,,3.87,324,1847,,white,0,female,1,straight,0,0,0,1
The Outsiders,S.E. Hinton,,4.1,192,1967,,white,0,female,1,straight,0,0,0,1
Charlotte's Web,E.B. White,,4.18,184,1952,,white,0,male,0,straight,0,0,0,0
Looking for Alaska,John Green,,4,221,2005,,white,0,male,0,straight,0,0,0,0
The Book Thief,Markus Zusak,,4.38,552,2005,,white,0,male,0,straight,0,0,0,0
A Tree Grows in Brooklyn,Betty  Smith,,4.28,496,1943,,white,0,female,1,straight,0,0,0,1
"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C.S. Lewis,,4.25,767,1956,7/5/18,white,0,male,0,bisexual,1,0,0,1
The Sun Also Rises,Ernest Hemingway,,3.81,247,1926,,white,0,male,0,straight,0,0,0,0
1984,George Orwell,,4.19,328,1949,,white,0,male,0,straight,0,0,0,0
Where the Red Fern Grows,Wilson Rawls,,4.08,212,1961,,white,0,male,0,straight,0,0,0,0
Sadie,Courtney Summers,5,4.08,308,2018,5/5/19,white,0,female,1,straight,0,0,0,1
Coraline,Neil Gaiman,5,4.06,162,2002,5/2/19,white,0,male,0,straight,0,0,0,0
The Wife Between Us,Greer Hendricks,3,3.85,346,2018,,white,0,female,1,straight,0,0,0,1
Reconfiguring Citizenship and National Identity in the North American Literary Imagination,Kathy-Ann Tan,5,5,432,2015,,asian,1,female,1,queer,1,0,0,3
Between the World and Me,Ta-Nehisi Coates,5,4.37,152,2015,,black,1,male,0,straight,0,0,0,1
The Wind's Twelve Quarters,Ursula K. Le Guin,5,4.05,277,1975,3/25/19,white,0,female,1,straight,0,0,0,1
Americanah,Chimamanda Ngozi Adichie,5,4.3,477,2013,9/26/18,black,1,female,1,straight,0,1,0,3
Let's Explore Diabetes with Owls,David Sedaris,3,3.82,275,2013,,white,0,male,0,gay,1,0,0,1
Five Billion Years of Solitude: The Search for Life Among the Stars,Lee Billings,3,3.89,304,2013,,white,0,male,0,straight,0,0,0,0
Stuff White People Like: A Definitive Guide to the Unique Taste of Millions,Christian Lander,2,3.73,211,2008,,white,0,male,0,straight,0,0,0,0
The Souls of Black Folk,W.E.B. Du Bois,3,4.28,288,1903,,black,1,male,0,straight,0,1,0,2
Frankenstein,Mary Wollstonecraft Shelley,2,3.83,352,1818,3/22/19,white,0,female,1,bisexual,1,0,0,2
Benito Cereno,Herman Melville,4,3.58,160,1855,,white,0,male,0,straight,0,0,0,0
Entry Denied: Controlling Sexuality At The Border,Eithne Luibhéid,4,4.05,288,2002,,white,0,female,0,queer,1,0,0,1
Double Bind: Women on Ambition,Robin Romm,5,3.88,320,2017,,white,0,female,1,straight,0,0,0,1
"Deliverance (Defiance, #3)",C.J. Redwine,4,3.98,496,2014,,white,0,female,1,straight,0,0,0,1
"The Leveller (The Leveller, #1)",Julia Durango,3,3.67,256,2015,,white,0,female,1,straight,0,0,0,1
The Mars Room,Rachel Kushner,4,3.47,338,2018,2/4/19,white,0,female,1,straight,0,0,0,1
Everything Here Is Beautiful,Mira T. Lee,3,3.92,360,2018,,asian,1,female,1,straight,0,0,1,3
My Year of Rest and Relaxation,Ottessa Moshfegh,4,3.7,288,2018,,white,0,female,1,straight,0,0,0,1
The Museum of Modern Love,Heather Rose,4,3.94,304,2018,,white,0,female,1,straight,0,0,0,1
"Doubt, a Parable",John Patrick Shanley,4,4.06,58,2005,,white,0,male,0,straight,0,0,0,0
The Awakening,Kate Chopin,5,3.66,195,1899,,white,0,female,1,straight,0,0,1,2
"Perfect Chemistry (Perfect Chemistry, #1)",Simone Elkeles,3,4.05,368,2008,,white,0,female,1,straight,0,0,0,1
"Roar (Stormheart, #1)",Cora Carmack,4,3.97,380,2017,,white,0,female,1,straight,0,0,0,1
Not Quite Not White: Losing and Finding Race in America,Sharmila Sen,4,4.09,224,2018,11/8/18,asian,1,female,1,straight,0,1,0,3
Those Who Knew,Idra Novey,4,3.43,248,2018,,white,0,female,1,straight,0,0,0,1
Little Fires Everywhere,Celeste Ng,4,4.09,338,2017,9/16/18,asian,1,female,1,straight,0,0,0,2
They Both Die at the End,Adam Silvera,4,4.01,389,2017,9/15/18,latinx,1,male,0,gay,1,0,1,3
"When Dimple Met Rishi (Dimple and Rishi, #1)",Sandhya Menon,2,3.7,380,2017,,asian,1,female,1,straight,0,1,0,3
"Gabi, a Girl in Pieces",Isabel Quintero,5,3.95,284,2014,9/9/18,latinx,1,female,1,straight,0,0,0,2
Bel Canto,Ann Patchett,5,3.92,318,2001,9/8/18,white,0,female,1,straight,0,0,0,1
"The Kiss Quotient (The Kiss Quotient, #1)",Helen Hoang,5,3.92,323,2018,,asian,1,female,1,straight,0,0,1,3
A Visit from the Goon Squad,Jennifer Egan,5,3.67,288,2010,12/20/17,white,0,female,1,straight,0,0,0,1
"The Girl of Fire and Thorns (Fire and Thorns, #1)",Rae Carson,5,3.79,423,2011,5/7/18,white,0,female,1,straight,0,0,0,1
Emergency Contact,Mary H.K. Choi,5,3.69,394,2018,9/8/18,asian,1,female,1,straight,0,0,0,2
"Every Day (Every Day, #1)",David Levithan,3,3.92,322,2012,,white,0,male,1,gay,0,0,0,1
From Lukov with Love,Mariana Zapata,3,4.34,493,2018,8/26/18,latinx,1,female,1,straight,0,0,0,2
"The Pledge (The Pledge, #1)",Kimberly Derting,3,3.79,323,2011,,white,0,female,1,straight,0,0,0,1
Rise,Anna Carey,3,3.74,310,2013,8/19/18,white,0,female,1,straight,0,0,0,1
"Once (Eve, #2)",Anna Carey,3,3.89,354,2012,8/18/18,white,0,female,1,straight,0,0,0,1
"Eve (Eve, #1)",Anna Carey,3,3.69,336,2011,,white,0,female,1,straight,0,0,0,1
The Great Gatsby,F. Scott Fitzgerald,3,3.93,200,1925,8/18/18,white,0,male,0,straight,0,0,0,0
"Mr. Darcy's Diary (Jane Austen Heroes, #1)",Amanda Grange,1,3.66,329,2005,8/12/18,white,0,female,1,straight,0,0,0,1
Adjustment Day,Chuck Palahniuk,3,3.15,316,2018,8/12/18,white,0,male,0,gay,1,0,0,1
Great Expectations,Charles Dickens,2,3.78,544,1860,,white,0,male,0,straight,0,0,0,0
"Throne of Glass (Throne of Glass, #1)",Sarah J. Maas,1,4.18,406,2012,,white,0,female,1,straight,0,0,0,1
"Of Neptune (The Syrena Legacy, #3)",Anna Banks,3,3.79,330,2014,,white,0,female,1,straight,0,0,0,1
"Of Triton (The Syrena Legacy, #2)",Anna Banks,3,3.97,246,2013,,white,0,female,1,straight,0,0,0,1
"Of Poseidon (The Syrena Legacy, #1)",Anna Banks,3,3.99,324,2012,,white,0,female,1,straight,0,0,0,1
All Our Wrong Todays,Elan Mastai,4,3.77,384,2017,6/20/18,white,0,male,0,straight,0,0,0,0
What If? Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,5,4.12,303,2014,6/26/18,white,0,male,0,straight,0,0,0,0
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,3,4.59,561,2016,,white,0,female,1,straight,0,1,1,3
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,4,4.47,465,2015,,white,0,female,1,straight,0,1,1,3
"The Thousandth Floor (The Thousandth Floor, #1)",Katharine McGee,3,3.68,448,2016,5/11/18,white,0,female,1,straight,0,0,0,1
"The Bitter Kingdom (Fire and Thorns, #3)",Rae Carson,4,4.21,433,2013,5/10/18,white,0,female,1,straight,0,0,0,1
"The Crown of Embers (Fire and Thorns, #2)",Rae Carson,5,4.18,410,2012,,white,0,female,1,straight,0,0,0,1
Dreams of Joy (Shanghai Girls #2),Lisa See,5,4.08,354,2011,5/9/18,asian,1,female,1,straight,0,0,0,2
"Warcross (Warcross, #1)",Marie Lu,4,4.14,353,2017,,asian,1,female,1,straight,0,1,0,3
Silver in the Blood,Jessica Day George,2,3.45,358,2015,,white,0,female,1,white,1,0,0,2
The Weight of Feathers,Anna-Marie McLemore,4,3.77,308,2015,,latinx,1,nonbinary,1,queer,1,0,0,3
None of the Above,I.W. Gregorio,4,3.86,328,2015,,asian,1,female,1,straight,0,0,0,2
"Deception (Defiance, #2)",C.J. Redwine,3,3.93,496,2013,,white,0,female,1,straight,0,0,0,1
The Intuitionist,Colson Whitehead,3,3.66,255,1999,,black,1,male,0,straight,0,0,0,1
"Bird Box (Bird Box, #1)",Josh Malerman,5,4.02,262,2014,4/6/18,white,0,male,0,straight,0,0,0,0
"Simon vs. the Homo Sapiens Agenda (Simonverse, #1)",Becky Albertalli,5,4.23,303,2015,,white,0,female,1,bisexual,1,0,0,2
"Defiance (Defiance, #1)",C.J. Redwine,4,3.67,403,2012,,white,0,female,1,straight,0,0,0,1
"The Edge of Everything (The Edge of Everything, #1)",Jeff  Giles,2,3.51,368,2017,4/6/18,white,0,male,0,straight,0,0,0,0
"Lies Beneath (Lies Beneath, #1)",Anne Greenwood Brown,1,3.67,306,2012,4/6/18,white,0,female,1,straight,0,0,0,1
"Becoming a Citizen Activist: Stories, Strategies, and Advice for Changing Our World",Nick Licata,4,3.32,225,,4/1/18,white,0,male,0,straight,0,0,0,0
"The Handmaid's Tale (The Handmaid's Tale, #1)",Margaret Atwood,4,4.12,314,1985,,white,0,female,1,straight,0,0,0,1
"Wake (Wake, #1)",Lisa McMann,3,3.75,210,2008,4/6/18,white,0,female,1,straight,0,0,0,1
The Bell Jar,Sylvia Plath,5,4.02,294,1963,,white,0,female,1,straight,0,0,1,2
"Pride and Prejudice and Zombies (Pride and Prejudice and Zombies, #1)",Seth Grahame-Smith,2,3.31,320,2009,,white,0,male,0,straight,0,0,0,0
From Here to Eternity: Traveling the World to Find the Good Death,Caitlin Doughty,3,4.24,248,2017,3/16/18,white,0,female,1,straight,0,0,0,1
"The Left Hand of Darkness (Hainish Cycle, #4)",Ursula K. Le Guin,4,4.08,304,1969,3/12/18,white,0,female,1,straight,0,0,0,1
Love in the Time of Cholera,Gabriel García Márquez,4,3.92,348,1985,12/9/17,latinx,1,male,0,straight,0,1,0,2
Turtles All the Way Down,John Green,4,3.92,290,2017,,white,0,male,0,straight,0,0,0,0
Catch-22,Joseph Heller,4,3.98,453,1961,,white,0,male,0,straight,0,0,0,0
